filename,starcoder2-3B-2000beg,starcoder2B-2000end,starcoder2B-2000mid
Logos,70.8448468886,70.88944243969999,114.0216042534
Logtalk,15.65886315152,14.42910012334,13.83019117528
LookML,43.26580623256,40.35740832002,38.841770749839995
LoomScript,28.439296862040003,27.351189985679998,25.04249206456
Lua,96.84210549664,102.81746240588001,87.88751506996
Luau,84.39481088599999,68.21327265069999,63.6195618644
M,412.31899771108,408.58328912786,369.44827657512
M4,78.75166249899999,68.0047738067,64.9649756584
M4Sugar,43.60756483056,42.03898007352,36.479385961839995
MATLAB,616.335904209,538.57378179826,504.52715918092
MAXScript,74.6481965126,77.4607507687,59.337124299399996
MDX,14.52970646352,13.00449108934,15.84170741028
MLIR,66.94143035708,52.30109434536,50.35846405612
MQL4,50.09879163356,39.67999289102,36.05953799584
MQL5,42.60634133056,39.50879547852,42.34581715784
MTML,15.35279618152,14.739484429840001,12.98383464828
MUF,28.97048385404,30.35704619968,25.34036963656
Macaulay2,15.38650609252,13.75990186934,11.90094102228
Makefile,179.14882354124,154.44444133308,146.58121131536
Markdown,138.7125131792,132.13088399240002,127.7154522148
Marko,40.51648637756,38.21330025102,35.56864185184
Mask,14.89188154652,12.36557542934,14.48739525828
Mathematica,171.33681429024,148.61616008608001,158.51435426636
Maven POM,14.07109732552,13.753563394339999,12.83068366428
Max,44.81162035456,42.23536460202,42.582683005839996
Mercury,152.0397738902,130.6015559494,131.5101004898
Mermaid,158.60921310172,143.53275233974,137.78588250808
Meson,27.76241344604,26.42709956868,25.56217381156
Metal,13.29454871652,12.11401772484,12.08900690828
Microsoft Developer Studio Project,14.5232211,15.493400248339999,13.24891715128
Microsoft Visual Studio Solution,16.03349257652,14.518337621339999,12.91702613928
MiniYAML,129.06539787468,123.30161423106,110.66635956552
Mint,101.11658,73.65599294704,74.13047729368
Modelica,174.50548484124,171.41980925508,153.74483318536
Modula-2,13.80819245652,14.78085621334,12.47402990928
Modula-3,76.4605723646,64.4868827217,64.1433850014
Module Management System,76.4474257646,63.0176080712,65.4464567674
Mojo,28.14167569904,24.25746871268,24.41583260056
Monkey,73.8251847196,69.9608425147,68.36240660039999
Monkey C,12.95555896352,13.34483276584,12.952445364279999
Moocode,41.72861958156,36.84082895052,37.32358663184
MoonBit,71.2350108486,70.6286086537,70.1661790144
MoonScript,12.85736959552,17.952796086339998,12.630686536279999
Motoko,27.935922124039998,26.81481182868,24.835352613559998
Motorola 68K Assembly,88.12692526012,88.61861478803999,76.15463488268
Move,29.781631843040003,27.60994349968,23.98636758856
Muse,27.376446953040002,25.32761042768,24.30247329756
Mustache,55.88239497608,55.150215163359995,52.53145282312
NASL,139.2182580782,141.31286514139998,128.5564748818
NCL,244.653601842,227.08561670944,209.34318512648
NEON,33.48954270204,29.217007374679998,24.060066879559997
NL,31.45151427504,27.31734256368,29.698027012559997
NMODL,29.01091534604,29.40473873368,27.46121782856
NPM Config,14.06013649452,14.14266166234,12.37711787228
NSIS,32.68986626604,27.504277640679998,24.79293333556
NWScript,83.69998076712,82.17360220504,73.73838785768
Nasal,27.443538278040002,25.54438572368,24.05803761456
Nearley,13.46778266552,14.408391161339999,12.318388517279999
Nemerle,13.515580866,12.88759353284,11.27861142828
NetLinx,31.66473134504,28.35580107568,25.57851001256
NetLinx+ERB,30.270709539040002,26.08830751568,25.448342737559997
NetLogo,13.867117757519999,12.91154905434,11.66246470428
NewLisp,42.71549603756,38.76135922802,37.92608480684
Nextflow,59.30412566508,52.40817840736,50.82314702412
Nginx,44.36038852256,41.46055845702,41.31815160584
Nim,83.60464127812,78.56902085004,79.82912915368
Nit,349.21517661848,338.14069829415996,296.60623762171997
Nix,13.40393940352,14.111260207339999,12.97216957128
Noir,41.70340346756,38.34177224652,37.02802639084
Nu,27.49892680904,28.304069223679996,23.953844817559997
Nunjucks,14.34371163252,14.49770862034,12.94440359828
Nushell,26.67838880404,28.593225736679997,25.36627569656
OASv2-json,15.97751333652,12.562999678339999,13.82009202128
OASv2-yaml,27.18049205204,26.746770339679998,23.512607884559998
OASv3-json,14.19256329452,16.147802399339998,13.25350642128
OASv3-yaml,31.72779949204,28.110542765679998,24.573393805560002
OCaml,145.4226263842,142.0194570894,125.1291324288
Oberon,14.90234763152,14.816530866339999,12.28450428028
Object Data Instance Notation,14.15827014952,15.34506037734,12.52998518628
ObjectScript,14.84366082752,15.460613544840001,13.71927381928
Objective-C,315.35402501844,276.60749364948003,271.31059708516
Objective-C++,27.46874153604,27.20586770368,24.54218924456
Objective-J,41.14801562356,44.714086768019996,36.45439961284
Odin,12.70132462352,12.89656492234,14.16196835828
Omgrofl,13.63826352952,12.62899094884,12.30716772328
Opa,26.14534227704,27.14419327368,24.07478646556
Opal,15.87317145652,11.73086998984,12.47218330028
Open Policy Agent,56.49552925308,50.06420956136,48.30886587912
OpenCL,29.033974184039998,25.991767627679998,23.28202958756
OpenEdge ABL,89.16760706912,83.42023532604,80.50570735868
OpenQASM,13.43222975652,14.670927639339999,12.86673770028
OpenRC runscript,13.78887278152,13.03997750634,11.71768280028
OpenSCAD,30.78891651304,26.33070591268,23.34865326756
OpenStep Property List,30.432760422039998,28.196124966680003,25.97089249256
Option List,71.2776881646,74.4282258917,62.9456796864
Org,13.78342666252,14.32480579934,11.59997400428
Ox,42.23297669556,38.31484563052,37.07995748784
Oxygene,14.86136851352,11.90694203134,13.60494042328
Oz,13.94321639652,12.91376074634,11.78922106328
P4,26.76669467304,26.24181422168,27.34963096956
PDDL,42.68452341156,45.676634252019994,41.768943084840004
PEG.js,29.74514921804,25.850330973680002,27.01105346156
PHP,278.96461734088,273.95509328146,247.46883663832
PLSQL,114.43171901616,113.03674942472,107.03194140523999
PLpgSQL,102.36238278464,90.56623558188001,89.28111250495999
POV-Ray SDL,172.87368435624,172.81421219608,152.49448716736
Pact,33.82636619704,26.19189465468,24.52651263556
Pan,254.39657341536,233.82287257712002,217.55162353704
Papyrus,45.250748626560004,43.77342197902,37.08977075184
Parrot Assembly,14.65265745052,12.76997398784,13.44466965928
Parrot Internal Representation,13.520351645,14.655603809339999,13.48664748028
Pascal,187.10379393276,180.22047795141998,161.84703264064
Pawn,104.86072968264,99.92882883038,89.01702007496
Pep8,103.79972849164,93.04614511538,86.60274744596
Perl,374.12422341204,376.39435247918,347.22323213656
Pic,39.75497014656,38.28371795252,41.82218791584
Pickle,62.654113724080005,55.412387990359996,60.46735612512
PicoLisp,15.14922271452,12.78919689884,12.78212812428
PigLatin,14.44789785952,11.82968580684,12.57804364028
Pike,47.81848980956,38.01190965952,39.91813217984
Pip Requirements,25.71456125204,25.68233286968,27.22465019756
Pkl,42.45247646756,38.886462301019996,35.95119170884
PlantUML,103.83988305764,95.51647666538,90.12596854396
Pod,57.23362261108,53.297193878360005,53.67560752112
Pod 6,13.57753242052,15.41979100584,12.22136863828
PogoScript,13.83812044652,13.825367202339999,12.13179610328
Polar,28.556419380039998,26.12068630168,26.68915258256
Pony,102.23469609799999,79.38659239504,86.07964492868
Portugol,31.29852887704,27.45568788968,23.56376618256
PostCSS,29.531638408040003,27.525009046679997,26.33094490456
