filename,linguist
Roff,7.40250436044
Roff Manpage,4.95787422196
RouterOS Script,2.3605619203200003
Ruby,15.78400411162
Rust,1.65682200732
SAS,1.19006620774
SCSS,0.39469219158
SELinux Policy,1.56813442332
SMT,1.59002059132
SPARQL,0.78093931016
SQF,0.78768483116
SQL,6.27439587012
SQLPL,2.4044596934799998
SRecode Template,0.5913484845800001
SSH Config,2.35043616348
STAR,1.24057813374
STON,2.7449678730600002
SWIG,1.2493182737400002
Sage,0.39228295058
SaltStack,3.52389659548
Sass,0.39405154258
Scala,2.79752082806
Scaml,0.39521168557999997
Scenic,1.57366042732
Scheme,1.98687833732
Scilab,1.19493099374
ShaderLab,1.7901851777400002
Shell,21.6327969849
ShellCheck Config,0.39427896558
ShellSession,1.18247379574
Shen,1.17940593774
Sieve,4.32461959738
Simple File Verification,0.78845174316
Singularity,0.39784866358
Slash,0.39061069358
Slice,1.23804576774
Slim,0.39077719758
Slint,1.19814988274
SmPL,0.39455124658
Smali,2.83969988406
Smalltalk,4.1027320858
Smithy,0.39410829458
Snakemake,1.57542989632
Soong,0.39356503258
SourcePawn,1.24315158174
Squirrel,0.39016737858
Stan,1.17993222074
Standard ML,2.0247454159
Starlark,4.39711371338
Stata,2.76588973606
StringTemplate,0.40873894858
Stylus,0.39020080958
SubRip Text,0.41159915058
SugarSS,0.39146793458
SuperCollider,2.0506546269
Svelte,0.39112216158
Sway,2.0532774069
Sweave,0.78972221416
Swift,16.84501103194
SystemVerilog,1.5728561543200001
TI Program,2.76548271606
TL-Verilog,0.78293696516
TLA,0.78209754216
TOML,2.78004713106
TSPLIB data,0.82529845816
TSQL,1.63646063932
TSV,1.21859392374
TSX,1.67311754032
TXL,0.38995774058
Tact,0.81880752916
Talon,0.7888174541599999
Tcl,2.75765046906
Tcsh,0.40944075658
TeX,2.82027633206
Tea,0.39429266058
Terra,1.7700429377400002
Terraform Template,0.7807739381600001
Texinfo,0.39956442758
Text,10.80106278308
TextGrid,1.17527593374
TextMate Properties,0.39860654858
Thrift,0.40115667858
Toit,1.18933226074
Turing,1.64415664332
Turtle,0.7918423541599999
Type Language,0.79384838816
TypeScript,2.43231458548
