,ground-truth,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
Smalltalk,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8
Smithy,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Snakemake,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Soong,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SourcePawn,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Squirrel,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Stan,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Standard ML,1.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0
Starlark,1.0,0.36363636363636365,0.7272727272727273,0.45454545454545453,1.0,0.0,0.0,0.0
Stata,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2857142857142857
StringTemplate,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Stylus,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
SubRip Text,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SugarSS,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
SuperCollider,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Svelte,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Sway,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sweave,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Swift,1.0,1.0,1.0,1.0,1.0,0.5581395348837209,0.0,1.0
SystemVerilog,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.75
TI Program,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
TL-Verilog,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TLA,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
