filename,cloc,go-enry,guesslang,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
ColdFusion CFC,0.43328499804000004,0.05108323052,5.32620801524,0.03183563232,0.9151516476800001,0.1527315112,0.45481740076000005,0.29810658696000003
Common Lisp,1.9317709876800002,0.24757259084,22.979758893079996,0.14192396494,4.2112486455600004,0.8005509889,2.0604150114200004,1.20804655932
Common Workflow Language,0.21380556552000002,0.02792316576,2.49611420312,0.01510543166,0.44541952784000005,0.0838367131,0.21818104938000002,0.13262063148
Component Pascal,0.42629692504000005,0.05627714652,5.064638975239999,0.03295302332,1.14579452068,0.1694638262,0.43958905576000007,0.26095086296000003
Cool,0.43219479804,0.05821170852,5.01482055524,0.03231258532,0.9401252606800001,0.1553638262,0.47840857576000007,0.27230129696
Coq,2.90043096176,0.33197818988,33.139901016559996,0.20341788958,5.93110473692,1.1412041963000001,2.9492780349400003,1.74420840924
Creole,0.21377563152,0.02795475876,2.67797983012,0.015431409660000001,0.43279563584,0.0854059471,0.23277718438000003,0.13091706648
Crystal,0.64523274756,0.07775618728,7.637985188359999,0.04681584298,1.3544184005200002,0.2356462633,0.7585565541400001,0.39428600144000003
Csound,0.64208294556,0.07824013928,8.02016155736,0.048878515979999995,1.3310055785200001,0.24529263030000004,0.71299843514,0.44194857444
Csound Document,0.64439947756,0.08514669628,7.34142326442,0.04718568598,1.4006838855200001,0.22803288530000002,0.6443100961400001,0.41838365144
Csound Score,0.6341677695600001,0.08155431628000001,7.659643786359999,0.04800948198,1.3511808465200001,0.2298309523,0.6844771781400001,0.43361236744
Cuda,0.42484973404000004,0.05611391352,5.10606389024,0.032275077320000005,0.8625351616800001,0.1571636212,0.5328825127600001,0.26701961296
Cue Sheet,0.42707828304000006,0.05477077552,4.940357612280001,0.031373290320000004,1.28977348568,0.1793870172,0.43321856076000004,0.25393936695999997
Curry,0.42561548604,0.055598459520000004,4.9529276072399995,0.030710813320000002,0.9256490256800001,0.1557380182,0.5595685667600001,0.26175050796
Cycript,0.21480407552,0.02800871776,2.4506845251400002,0.01641895966,0.45801747084000005,0.0731406591,0.26695594738,0.12661404948
Cylc,0.64475117256,0.08416548328000001,7.70376451836,0.04675289498000001,1.4017171305200002,0.26386633330000003,0.7744872691400001,0.39269815044
Cypher,0.85156046108,0.11433731504,9.76848055748,0.06458452964,1.8306573953600003,0.3004137794,1.01059822452,0.52519014192
D,1.97388063868,0.24825174584,22.59457080908,0.14225643294,4.23945659956,0.8194790209,2.11384016142,1.19684632432
D2,0.42483284804,0.05412335152,5.16635325424,0.032365913319999995,0.9122192356800001,0.1500412942,0.48826877176000005,0.26070073496
DIGITAL Command Language,0.85255326008,0.10333940004,9.81907422748,0.05885238764,1.8426638613600002,0.3476219044,0.91837915552,0.52215123292
DM,0.21386634352,0.02707936176,2.40751985612,0.014732740660000002,0.45034922984000003,0.0779957751,0.25478795238,0.12968054148
