filename,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
Chapel,0.9916697824,0.11556890040000001,0.05882579760000001,1.9887589139,0.30187102480000005,1.2840776111,0.6492175269000001
Charity,0.19695007348000002,0.022137280880000002,0.01200916312,0.5908866005800001,0.06066329796,0.34294910322,0.12984653458000003
Checksums,3.5549659036400003,0.41699007284000006,0.21246308216,7.04635586944,1.10110520928,4.0390511919600005,2.3467079674400004
Circom,0.6006210294400001,0.07519036864,0.034578647360000006,1.17715741674,0.18638611888,0.73342893066,0.3862207847400001
Cirru,2.7551402297200003,0.34828110532000006,0.15994197968,5.50862591712,0.8727506124400001,3.19175387208,1.9232542861200004
Clarion,0.7905159999200001,0.09398101152000002,0.04647871948000001,1.57885791832,0.25874220184,1.01582825888,0.51790731432
Clarity,0.5875418374400001,0.07036021464,0.03355845536,1.19420286174,0.18697449488,0.8551102766600001,0.38890600774000006
Classic ASP,0.39279226396,0.048582174760000006,0.023400594240000003,0.79477047516,0.12337696792,0.44189769244000004,0.26088381616
Clean,1.7530473773200002,0.22541644792000004,0.10684442208,3.55018570022,0.5583939396400001,2.10027799598,1.1756970432200002
Click,0.39643812296000003,0.04538984276000001,0.02376396424,0.78363933716,0.12483335392,0.47567114644,0.26036605416
Clojure,1.9890193868000001,0.23364453380000003,0.1162192112,3.9539251598,0.6236951496,2.3613514532,1.3062342058000003
Closure Templates,0.19534437848000002,0.02275538188,0.011009366119999999,0.39986532558,0.06148587396,0.22082557022000002,0.12949920158000003
Cloud Firestore Security Rules,0.19103295348000002,0.023595156880000002,0.01115684112,0.39629167158,0.06076934196,0.21887244022000002,0.12948065258000002
CoNLL-U,0.59103253844,0.07505977064000001,0.03542281536,1.18934578074,0.18841131188000002,0.7668810486600001,0.3884350797400001
CodeQL,1.16069132388,0.13633000128000003,0.07180469072000001,2.35507129748,0.36068245876,1.38527550132,0.78417675748
CoffeeScript,1.9481723378000002,0.24905076680000005,0.1136925002,4.1509991688,0.6055087166,2.3484085582,1.3161035878000003
ColdFusion,0.19051371248,0.023834464880000003,0.011130090120000002,0.39811549258,0.058254393960000005,0.22842908522000002,0.14895326258000002
ColdFusion CFC,0.39373883096000006,0.05065564276000001,0.02130858524,0.79569073116,0.12397983692,0.44685808444,0.29989195416000003
Common Lisp,1.7675818683200002,0.20935449092000002,0.10374403408,3.62166528622,0.54584867264,2.01187518998,1.19546247322
Common Workflow Language,0.18957500148,0.023137288880000002,0.01201348612,0.39470245158,0.061875604960000004,0.21917474022000002,0.13076326658
Component Pascal,0.39302262496000007,0.04830695376000001,0.02272401224,0.9983220151600001,0.12599679892,0.44317948644000005,0.2602760551600001
Cool,0.38746767696000006,0.04524830476000001,0.02298858524,0.82765746116,0.11848077292,0.47844801444,0.27151163816
Coq,2.57702015724,0.30142768044000007,0.15406954956000002,5.36859626354,0.7886361214800001,2.88466100086,1.7128637935400002
Creole,0.19757741048000002,0.023327046880000004,0.010988150120000002,0.39025584358,0.06365794996000002,0.22834251622,0.12891212658
Crystal,0.58883014944,0.06933138764,0.03347774936,1.18405206474,0.17917111988,0.72805585466,0.39194389574000005
Csound,0.59040449344,0.06850771164000001,0.03356732336,1.20758674274,0.17567246288,0.70511926266,0.4281408337400001
Csound Document,0.57911318244,0.07025419264,0.03419980436,1.18351230174,0.18399620088000002,0.66809521066,0.42906889674000004
Csound Score,0.58578879644,0.07120722964000001,0.03665943236,1.17641249074,0.19419348388000002,0.6592103956600001,0.42872207274000007
Cuda,0.39505032096000003,0.05029850776000001,0.02404320124,0.78826859816,0.12148431392,0.51841944544,0.26362675916000006
Cue Sheet,0.39227613396000005,0.05377130176000001,0.02250427524,1.1719060051600003,0.11714266592,0.44516001944000005,0.25873040716000006
Curry,0.39370790596000005,0.04852023876,0.023728335240000002,0.79829477616,0.11882864092,0.54411520744,0.26018715916
Cycript,0.19552908448,0.02388634888,0.012319939120000001,0.39537034658,0.05722418896,0.26277509422,0.13078397058000002
Cylc,0.58671607744,0.07013929064,0.03289487036,1.17634287974,0.17714213088,0.74868672666,0.39079284674000003
Cypher,0.86443228792,0.09307273252,0.04730921048,1.57811278532,0.24744450984000002,0.98663656588,0.5220344383200001
D,1.7782786453200001,0.20450167992000004,0.10435884908000001,3.6903555302199997,0.5552572156400001,2.0655155719800002,1.17335188922
D2,0.39531048196000007,0.05159619976,0.023836168240000004,0.79035254016,0.12574964592,0.47239323144,0.25765304616000007
DIGITAL Command Language,0.7811945649200001,0.09437454552000002,0.04534714648,1.59231356232,0.24971427784000003,0.89224612188,0.5210485143200001
DM,0.19461084848000001,0.022170017880000004,0.01245221412,0.39516070758,0.06207654896,0.25554015122,0.13092425158
DNS Zone,0.39260147096000003,0.050912026760000006,0.02454136024,0.79566440216,0.11860869392000001,0.43896172844000003,0.25926544616
DTrace,0.58883540444,0.07214514164000001,0.03446779436,1.21361229374,0.19397315488000003,0.84230948366,0.3912290597400001
Dafny,0.39363756296,0.04551381276000001,0.02465474624,0.78764262916,0.12608580092000002,0.48059395244,0.26942622416000006
Dart,0.19215246848,0.026023284880000004,0.01117264812,0.38804059258,0.05942551196,0.23250748122,0.13201104058000002
DataWeave,0.9777349714000001,0.11866882440000001,0.056467331600000004,1.9596856479,0.3039418118,1.2108009211000001,0.6507790519000001
Debian Package Control File,0.38704412096000007,0.04620086176,0.022558056240000002,1.16531420516,0.13351285792,0.44959489444,0.26029451716000007
DenizenScript,0.40332649496000006,0.05266621676000001,0.023678860240000002,1.1952113931600001,0.12167903592000001,0.55999048744,0.25922052016
Dhall,0.38527633696,0.04571451076000001,0.023452368240000004,0.78827634316,0.12220041392,0.47749816744,0.25932057716
Diff,0.19617876548000002,0.022857152880000002,0.012130394120000002,0.39056188258,0.06062328596,0.15496030122,0.13145797558000002
DirectX 3D File,0.19681686548000002,0.024543773880000005,0.011260534120000002,0.41495113358,0.05733104996,0.22584445422000002,0.13150122758000002
Dockerfile,0.39703423796000004,0.04577412276000001,0.02420585324,0.78445662716,0.11888229992,0.46264493744,0.26404534916
Dogescript,0.19437405648,0.026202361880000004,0.012446725120000002,0.39158057758,0.05987995796,0.22765311722,0.12938477958000003
Dotenv,2.7480582197200003,0.33745464632000005,0.16509541268,5.51150991612,0.87934585744,3.1837616420800003,1.8196510401200003
Dune,0.19387553148,0.024190440880000004,0.010342352120000002,0.38998201358,0.06007334196,0.24564126722000001,0.12857279458
E,1.35605475936,0.16950732816000003,0.08322607384,2.87967847306,0.42734291072,1.73952699254,0.9135308590600002
E-mail,0.19957939548,0.023233326880000002,0.01214025412,0.39497180558,0.06100839996,0.22674026722,0.13106636058
EBNF,0.77485419892,0.10129219552000002,0.04621574648,1.57447212032,0.23312578784000001,1.1132830928800002,0.5847651593200001
ECL,0.19967601948000002,0.023942905880000004,0.011039564120000001,0.41586060058,0.06142122196,0.22767977122000002,0.13133739358000002
ECLiPSe,0.19508682948,0.022292850880000003,0.01135981312,0.40828330258,0.06271984096000001,0.23200006022000003,0.13054154358000003
EJS,0.9847447754,0.11570603840000002,0.0585024706,1.9776040719,0.2997531978,1.2218414771,0.6540228399000001
EQ,0.5912376204400001,0.07127373464,0.03681613936,1.19072672074,0.18446722788000003,0.71383369066,0.3872972147400001
Eagle,0.40537596696,0.13173443776000002,0.027771693240000003,1.22656703116,0.12666023192,0.67221252544,0.26168787916
Earthly,0.19474067148000002,0.023618904880000003,0.010826211120000002,0.39286642258,0.062445806959999996,0.27869791922000003,0.12968260858000003
Easybuild,0.19381274648000002,0.022174659880000003,0.01220143312,0.38923400358,0.06316018196,0.24719844022,0.12917055958
Ecmarkup,0.19695331848,0.024756202880000005,0.012135469119999999,0.41723848958,0.06118142296,0.26802312422,0.13745761958000002
Edge,0.19651770148,0.024606382880000003,0.011882641120000002,0.39703273158,0.062053468960000004,0.20775941822000002,0.12933853458000003
EdgeQL,0.38238522696000005,0.04744652676000001,0.02378199324,0.78649703616,0.12331540892000001,0.45823803644000005,0.25778985916
EditorConfig,0.58114587444,0.06926826864,0.034729778360000005,1.18015428274,0.18870543588,0.6924000826600001,0.39415874474000007
Edje Data Collection,0.19949030448000002,0.022643986880000005,0.01095520112,0.40772818958,0.06286228896000001,0.22446998422,0.12928477158
Eiffel,1.37204846036,0.16532617316000003,0.08075458284,2.87296773506,0.43155444472000004,1.7819445125400002,0.9088934050600002
Elixir,1.16363041788,0.15000029628000003,0.06889197672,2.44743387148,0.36304184776000004,1.62113139332,0.7863061204800001
Elm,0.58879003744,0.07398187164,0.03546671136,1.18329428274,0.18142774688000002,0.78335144866,0.39114538474000005
Elvish,0.19176244148000002,0.023408596880000004,0.01212256012,0.40151503358,0.06212700796,0.27001923622,0.12975601958000002
Emacs Lisp,2.13339622128,0.26198612068000005,0.12883411232,4.32736628238,0.7123684435600001,2.43743345542,1.4486307273800003
EmberScript,0.19467504748,0.032221867880000005,0.011887864120000001,0.39489538558,0.07046732396000001,0.23272603822000001,0.12879141558
Erlang,3.1177792486800002,0.37760412008000005,0.18733315792,6.35067794228,0.9961429633600001,3.71739938252,2.08599822228
Euphoria,1.9820283008000001,0.24944630280000002,0.1170550652,4.1620647468000005,0.6107329746000001,2.5964945752,1.3053016148000003
F#,1.5841852148400002,0.18546952904000003,0.09068759296000001,3.2834348116400003,0.48826100568,1.88421695476,1.1136821046400003
FIGlet Font,0.18904163748000002,0.021885054880000004,0.012066741120000002,0.39872781458,0.06749879196000001,0.22145812122,0.12961293858000003
